2001
0 + 1 2
1719 n 5
1720 n 5
1721 - 1787 1788
1722 n 2
1723 n 7
1724 n 3
1725 n 2
1726 n 5
1727 n 9
1728 n 3
1729 n 9
1730 n 6
1731 n 9
1732 n 7
1733 n 2
1734 n 2
1735 n 5
1736 n 2
1737 n 2
1738 n 0
1739 n 6
1740 + 1859 1860
1741 n 6
1742 n 0
1743 n 7
1744 n 0
1745 n 2
1746 n 6
1747 n 7
1748 n 0
1749 n 2
1750 n 2
1751 n 0
1752 n 6
1753 n 5
1754 n 3
1755 n 5
1756 n 0
1757 n 2
1758 n 1
1759 n 8
1760 n 5
1761 n 3
1762 n 2
1763 n 5
1764 + 1933 1934
1765 n 6
1766 n 6
1767 n 5
1768 n 0
1769 n 3
1770 n 5
1771 n 7
1772 n 2
1773 n 8
1774 n 9
1775 n 8
1776 n 4
1777 n 3
1778 n 8
1779 n 1
1780 n 2
1781 n 2
1782 n 9
1783 n 2
1784 - 1997 1998
1785 + 1883 1884
1786 n 3
1787 n 0
1788 n 1
1789 n 9
1790 n 7
1791 n 4
1792 n 4
1793 n 6
1794 n 3
1795 n 7
1796 n 7
1797 n 9
1798 n 0
1799 n 4
1800 n 7
1801 n 7
1802 n 6
1803 n 6
1804 n 2
1805 n 0
1806 n 9
1807 n 8
1808 n 8
1809 n 3
1810 n 5
1811 n 1
1812 n 8
1813 - 1931 1932
1814 n 5
1815 n 1
1816 n 3
1817 n 0
1818 + 1989 1990
1819 n 8
1820 n 6
1821 n 4
1822 n 8
1823 + 1917 1918
1824 n 6
1825 n 9
1826 n 1
1827 n 6
1828 n 2
1829 n 8
1830 n 1
1831 n 5
1832 n 8
1833 n 6
1834 n 5
1835 n 9
1836 n 2
1837 n 8
1838 n 2
1839 n 1
1840 n 2
1841 n 4
1842 n 2
1843 n 3
1844 n 9
1845 n 4
1846 n 3
1847 n 0
1848 n 4
1849 n 6
1850 n 9
1851 n 6
1852 n 8
1853 n 2
1854 n 1
1855 n 8
1856 n 9
1857 n 6
1858 n 8
1859 n 9
1860 n 3
1861 n 1
1862 n 9
1863 n 6
1864 n 1
1865 n 4
1866 n 2
1867 n 2
1868 n 0
1869 n 3
1870 n 5
1871 n 0
1872 n 1
1873 n 0
1874 n 4
1875 n 8
1876 n 1
1877 n 0
1878 + 1957 1958
1879 n 7
1880 n 6
1881 n 0
1882 n 0
1883 n 7
1884 n 8
1885 n 7
1886 - 1921 1922
1887 n 8
1888 n 7
1889 n 0
1890 n 0
1891 n 3
1892 n 0
1893 n 1
1894 n 3
1895 n 6
1896 n 7
1897 n 4
1898 n 7
1899 n 8
1900 n 1
1901 n 4
1902 n 0
1903 n 1
1904 n 7
1905 n 0
1906 n 2
1907 n 5
1908 n 1
1909 n 4
1910 n 8
1911 n 6
1912 n 1
1913 n 9
1914 n 6
1915 n 0
1916 n 5
1917 n 6
1918 n 9
1919 n 7
1920 n 2
1921 n 4
1922 n 4
1923 n 7
1924 n 5
1925 n 7
1926 n 1
1927 n 5
1928 n 8
1929 n 9
1930 n 1
1931 n 1
1932 n 3
1933 n 6
1934 n 8
1935 n 0
1936 n 2
1937 n 1
1938 n 7
1939 n 8
1940 n 3
1941 n 4
1942 n 4
1943 n 9
1944 n 5
1945 n 7
1946 + 1991 1992
1947 n 9
1948 n 7
1949 n 9
1950 n 3
1951 n 7
1952 n 4
1953 n 4
1954 n 7
1955 n 2
1956 n 1
1957 n 2
1958 n 8
1959 n 8
1960 n 7
1961 + 1975 1976
1962 n 6
1963 n 5
1964 n 3
1965 n 2
1966 n 9
1967 n 1
1968 n 1
1969 n 9
1970 n 2
1971 n 5
1972 n 3
1973 n 5
1974 n 8
1975 n 6
1976 n 8
1977 n 4
1978 n 2
1979 n 5
1980 n 6
1981 n 4
1982 n 9
1983 n 9
1984 n 6
1985 n 1
1986 n 7
1987 n 6
1988 n 6
1989 n 4
1990 n 4
1991 n 4
1992 n 4
1993 n 1
1994 n 9
1995 n 3
1996 n 8
1997 n 4
1998 n 9
1999 n 5
2000 n 7
